date,fund,company,ticker,cusip,shares,market value($),weight(%),weighted stock price
2/5/2021,ARKK,TESLA INC,TSLA,88160R101,2855797,2433795877.31,9.45,=G2/F2
2/5/2021,ARKK,ROKU INC,ROKU,77543R102,3898313,1714828905.57,6.66,=G3/F3
2/5/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,4709015,1342210545.45,5.21,=G4/F4
2/5/2021,ARKK,SQUARE INC - A,SQ,852234103,4992810,1200171667.8,4.66,=G5/F5
2/5/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6023237,1016782637.97,3.95,=G6/F6
2/5/2021,ARKK,INVITAE CORP,NVTA,46185L103,17320497,860828700.9,3.34,=G7/F7
2/5/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,4918412,771059449.24,2.99,=G8/F8
2/5/2021,ARKK,BAIDU INC - SPON ADR,BIDU,56752108,2846039,768800515.07,2.98,=G9/F9
2/5/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2458800,764121276,2.97,=G10/F10
2/5/2021,ARKK,PROTO LABS INC,PRLB,743713109,3085242,668140007.52,2.59,=G11/F11
2/5/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,469483,604576733.25,2.35,=G12/F12
2/5/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,6179254,589500831.6,2.29,=G13/F13
2/5/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,21842288,590833890.4,2.29,=G14/F14
2/5/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1330053,558076938.27,2.17,=G15/F15
2/5/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1388189,555358891.34,2.16,=G16/F16
2/5/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,2055350,553793504,2.15,=G17/F17
2/5/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,10470449,519857792.85,2.02,=G18/F18
2/5/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,3530241,510437546.19,1.98,=G19/F19
2/5/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1973874,494198833.38,1.92,=G20/F20
2/5/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3025619,478108314.38,1.86,=G21/F21
2/5/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6406440,443389712.4,1.72,=G22/F22
2/5/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3411142,435875724.76,1.69,=G23/F23
2/5/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6603791,423038851.46,1.64,=G24/F24
2/5/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5960033,423162343,1.64,=G25/F25
2/5/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1214680,416197955.2,1.62,=G26/F26
2/5/2021,ARKK,PAGERDUTY INC,PD,69553P100,7493663,412076528.37,1.6,=G27/F27
2/5/2021,ARKK,2U INC,TWOU,90214J101,7992456,369491240.88,1.43,=G28/F28
2/5/2021,ARKK,STRATASYS LTD,SSYS,M85548101,6994760,361768987.2,1.4,=G29/F29
2/5/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,3149212,359608518.28,1.4,=G30/F30
2/5/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,5644016,353428281.92,1.37,=G31/F31
2/5/2021,ARKK,VERACYTE INC,VCYT,92337F107,4803673,350860275.92,1.36,=G32/F32
2/5/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,2658665,342010665.6,1.33,=G33/F33
2/5/2021,ARKK,SEA LTD-ADR,SE,81141R100,1308741,336032339.16,1.3,=G34/F34
2/5/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4192930,315350265.3,1.22,=G35/F35
2/5/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,5732142,309191739.48,1.2,=G36/F36
2/5/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,1498561,278043007.94,1.08,=G37/F37
2/5/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,7200552,260803993.44,1.01,=G38/F38
2/5/2021,ARKK,PACCAR INC,PCAR,693718108,2682808,259105596.64,1.01,=G39/F39
2/5/2021,ARKK,SYNOPSYS INC,SNPS,871607107,895602,244427697.84,0.95,=G40/F40
2/5/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,473526,236280003.48,0.92,=G41/F41
2/5/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,2460276,222728786.28,0.86,=G42/F42
2/5/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,7975253,215650841.12,0.84,=G43/F43
2/5/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,6825861,182728298.97,0.71,=G44/F44
2/5/2021,ARKK,CERUS CORP,CERS,157085101,18914439,142614870.06,0.55,=G45/F45
2/5/2021,ARKK,SNAP INC - A,SNAP,83304A106,2187585,139217909.4,0.54,=G46/F46
2/5/2021,ARKK,SPLUNK INC,SPLK,848637104,790321,134544247.04,0.52,=G47/F47
2/5/2021,ARKK,TERADYNE INC,TER,880770102,1032551,130225332.12,0.51,=G48/F48
2/5/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1725620,129645830.6,0.5,=G49/F49
2/5/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,9951336,129068827.92,0.5,=G50/F50
2/5/2021,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,1526884,125143412.64,0.49,=G51/F51
2/5/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,888296,93439856.24,0.36,=G52/F52
2/5/2021,ARKK,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,81379967.24,81379967.24,0.32,=G53/F53
2/5/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,5017023,61960234.05,0.24,=G54/F54
2/5/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,330700,38414112,0.15,=G55/F55
2/5/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,68620A203,448589,6697433.77,0.03,=G56/F56
,,,,,,,,
,,,,,,,,
